username,created_at,lng,lat,text,,,,
SHRIYUTSHANDIL1, Tue Jan 26 21:08:10 +0000 2021,82.932955,25.373376, @143143KR https://t.co/JDrbpT3m6E ,,,,
jayaprakash1971, Tue Jan 26 21:08:13 +0000 2021,80.764796,15.893908, @myself4AP 👍👍👍 ,,,,
ahsaan_wajid, Tue Jan 26 21:08:15 +0000 2021,67.042194,24.905076, Hi. 👉🏻👈🏻 https://t.co/8cxyaYCgZ9 ,,,,
_kaustubhpawar, Tue Jan 26 21:08:19 +0000 2021,72.874244,19.17414, Zlatan rewinding the clock &amp; turning into an absolute dick from the late 2000s! 😑#milanderby #SerieA ,,,,
RohailBme, Tue Jan 26 21:08:19 +0000 2021,68.889159,26.116357, نیازی جواب دوعلی زیدی جواب دوشیخ رشید جواب دوبڑا وفاق وفاق کرتے ہو، اب جواب دینا ہوگا،کہاں ہے ریاست؟ کہاں ہے تا… https://t.co/kyoqhdHsJl ,,,,
iJahangirAhmed, Tue Jan 26 21:08:20 +0000 2021,68.889159,26.116357, لاہور ۔ نیب کورٹ میں صدر پاکستان مسلم(ن) میاں شہبازشریف سے صدر پاکستان مسلم لیگ(ن) کراچی ڈویژن انجینئر سلمان خان کی… https://t.co/1qT6JSMfSr ,,,,
Shubh_brnw, Tue Jan 26 21:08:26 +0000 2021,83.563115,25.94505, Where is bollywood ??#DelhiUnderAttack ,,,,
wasif_omar, Tue Jan 26 21:08:32 +0000 2021,82.584181,19.938705, @sudhirchaudhary @rashtrapatibhvn https://t.co/HltUEhYCei ,,,,
PranawUpadhyay, Tue Jan 26 21:08:34 +0000 2021,81.644808,25.434179, ये उन अंधे और बहरे बेशर्मों के लिए है जिन्हें ये चूतिया भाजपा का करीबी लगता है। अगर ये लोग इस वीडियो को देखने के बा… https://t.co/L0oPrEK3Mz ,,,,
BsMahadev2, Tue Jan 26 21:08:41 +0000 2021,85.102038,25.569474, @SHIFUJIJAIHIND Pls भारत का संविधान बादलों 🙏😥🇮🇳🇮🇳🛐🛐 https://t.co/Xha1ulB7zW ,,,,
sticksnpedals, Tue Jan 26 21:08:47 +0000 2021,78.064109,8.75468, This gentleman and his reaction from driver’s to passenger’s seat 🤪#faceexpressions #concentration #crazyface… https://t.co/ZbOXTMIXgD ,,,,
IamvenuGR7, Tue Jan 26 21:08:52 +0000 2021,76.319629,15.029557, @elonmusk https://t.co/7aaG57oMip ,,,,
shailesh143love, Tue Jan 26 21:08:54 +0000 2021,71.291372,22.414713, मोहब्बत का नतीजा,दुनिया में हमने बुरा देखा,जिन्हे दावा था वफ़ा का,उन्हें भी हमने बेवफा देखा.Shailesh parmar6359248107 ,
SHRIYUTSHANDIL1, Tue Jan 26 21:08:57 +0000 2021,82.932955,25.373376, हैल्लो मोटा भाई एक बार बोलके तो देखिये यूपी पुलिस दिल्ली में भी सेवायें दे सकती है https://t.co/FJk1Ihvg55 ,,,,
RAJKUMA93864635, Tue Jan 26 21:09:06 +0000 2021,80.867555,27.139758, @Hanumavihari https://t.co/zYOfETVJ0X ,,,,
saikrishna_allu, Tue Jan 26 21:09:08 +0000 2021,80.764796,15.893908, Indian billionaires increased their wealth by 35% during the lockdown, says Oxfam reporthttps://t.co/xSldL6aCjU ,,,
shreyansh_bwr, Tue Jan 26 21:09:29 +0000 2021,74.308757,25.947998, @livingondedge @pranavmahajan @DrVikasPadha @rahulroushan @Nidhi @nishantchat @nishikant_dubey @satyanadella… https://t.co/4KE6wnkEVN ,,,,
shailesh143love, Tue Jan 26 21:09:31 +0000 2021,71.291372,22.414713, ख्वाब हमारे टूटे तो हालात कुछ ऐसी थी, आँखे पल पल रोती 😭 थीं ,किस्मत हँसती रहती थी😢 💔 😒Shailesh parmar6359248107 ,,
shreyansh_bwr, Tue Jan 26 21:09:37 +0000 2021,74.308757,25.947998, @MusaafirOnEarth @pranavmahajan @DrVikasPadha @rahulroushan @Nidhi @nishantchat @nishikant_dubey @satyanadella… https://t.co/kOgD76jqO8 ,,,,
BhayaLal, Tue Jan 26 21:09:43 +0000 2021,73.192355,19.270371," काश !""Yogi ji"" को पावर मिल गई होती गणतंत्र दिवस समारोह के संचालन की... तो जितने सरदारों ने तांडव मचाया था न... सब… https://t.co/dcazByYAJF ",,,,
shreyansh_bwr, Tue Jan 26 21:09:49 +0000 2021,74.308757,25.947998, @Akshaymhs @pranavmahajan @DrVikasPadha @rahulroushan @Nidhi @nishantchat @nishikant_dubey @satyanadella… https://t.co/VoNBwthIwb ,,,,
